subject,book_title,edition_year,chapter_no,chapter_title,page_start,page_end,curriculum_alignment,sequencing_scaffolding,language_readability,worked_examples,exercise_diversity,competency_hots,inclusivity_context,visual_design,mean_score,key_strength_1,key_strength_2,key_gap_1,key_gap_2,evidence_pages,coder,review_status
Science,,,,,,,,,,,,,,,,,,,,,,not_started
Mathematics,,,,,,,,,,,,,,,,,,,,,,not_started
English,,,,,,,,,,,,,,,,,,,,,,not_started
Social Science,,,,,,,,,,,,,,,,,,,,,,not_started
